State,Account Length,Area Code,Phone,IntlPlan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn
AZ,140,408,411-4674,no,no,0,173.200.000,91,29.440.000,196.800.000,106,16.730.000,209.300.000,128,9.420.000,11.200.000,5,3.020.000,3,False.
OR,49,510,376-4519,no,no,0,119.400.000,69,20.300.000,273.300.000,92,23.230.000,214.400.000,153,9.650.000,12.400.000,7,3.350.000,2,False.
KS,46,510,365-5979,no,no,0,250.300.000,100,42.550.000,260.600.000,90,22.150.000,195.000.000,104,8.780.000,13.300.000,2,3.590.000,2,True.
NE,148,415,382-2879,no,no,0,178.300.000,98,30.310.000,282.600.000,110,24.020.000,181.000.000,98,8.150.000,11.400.000,4,3.080.000,1,False.
MI,112,510,420-1383,no,no,0,243.400.000,77,41.380.000,182.100.000,97,15.480.000,259.200.000,94,11.660.000,12.800.000,2,3.460.000,1,False.
SC,78,415,411-7390,no,no,0,155.000.000,106,26.350.000,175.300.000,101,14.900.000,155.600.000,125,7.000.000,11.800.000,5,3.190.000,2,False.
PA,61,408,383-8848,no,yes,31,288.700.000,101,49.080.000,203.800.000,102,17.320.000,203.200.000,49,9.140.000,8.600.000,3,2.320.000,0,False.
MT,58,510,387-9301,no,yes,29,240.400.000,80,40.870.000,118.900.000,91,10.110.000,164.200.000,108,7.390.000,11.200.000,3,3.020.000,1,False.
NM,155,415,399-3164,no,no,0,190.300.000,123,32.350.000,301.300.000,96,25.610.000,214.600.000,134,9.660.000,8.000.000,3,2.160.000,1,False.
OH,100,510,385-8997,no,no,0,278.000.000,76,47.260.000,176.700.000,74,15.020.000,219.500.000,126,9.880.000,8.300.000,4,2.240.000,0,True.
WY,113,510,352-6573,no,no,0,155.000.000,93,26.350.000,330.600.000,106,28.100.000,189.400.000,123,8.520.000,13.500.000,3,3.650.000,1,False.
MI,81,415,408-3384,no,no,0,153.500.000,99,26.100.000,197.600.000,102,16.800.000,198.500.000,86,8.930.000,6.300.000,2,1.700.000,2,False.
AR,135,510,419-6033,no,yes,27,273.400.000,141,46.480.000,154.000.000,99,13.090.000,245.800.000,112,11.060.000,12.300.000,6,3.320.000,1,False.
FL,99,408,336-2090,no,no,0,155.300.000,93,26.400.000,265.700.000,95,22.580.000,145.700.000,67,6.560.000,12.400.000,4,3.350.000,0,False.
AR,59,510,343-7242,no,yes,29,133.100.000,114,22.630.000,221.200.000,82,18.800.000,131.600.000,103,5.920.000,6.800.000,3,1.840.000,1,False.
MO,135,510,376-1713,no,no,0,246.800.000,129,41.960.000,187.800.000,121,15.960.000,154.500.000,109,6.950.000,12.600.000,5,3.400.000,1,False.
WI,85,408,381-5878,yes,no,0,165.400.000,107,28.120.000,196.000.000,126,16.660.000,349.200.000,110,15.710.000,9.600.000,7,2.590.000,2,False.
TX,70,510,390-5470,no,no,0,59.500.000,103,10.120.000,257.200.000,106,21.860.000,208.300.000,86,9.370.000,11.100.000,6,3.000.000,0,False.
TX,88,510,414-4803,no,no,0,138.300.000,116,23.510.000,236.000.000,138,20.060.000,179.100.000,110,8.060.000,9.600.000,4,2.590.000,3,False.
NM,55,510,382-5478,no,no,0,286.700.000,100,48.740.000,134.400.000,121,11.420.000,192.900.000,122,8.680.000,6.900.000,5,1.860.000,2,False.
GA,75,415,333-7637,no,no,0,117.300.000,114,19.940.000,201.100.000,61,17.090.000,107.900.000,82,4.860.000,12.200.000,3,3.290.000,1,False.
ID,79,510,341-1647,no,yes,21,264.300.000,79,44.930.000,202.800.000,118,17.240.000,173.400.000,92,7.800.000,6.300.000,3,1.700.000,4,False.
AL,85,408,411-4232,no,no,0,127.900.000,107,21.740.000,271.200.000,124,23.050.000,202.200.000,76,9.100.000,12.500.000,5,3.380.000,0,False.
KS,86,408,339-2616,no,yes,23,225.500.000,107,38.340.000,246.300.000,105,20.940.000,245.700.000,81,11.060.000,9.800.000,2,2.650.000,0,False.
SD,91,510,327-3850,no,no,0,149.000.000,115,25.330.000,245.300.000,105,20.850.000,260.000.000,94,11.700.000,8.300.000,3,2.240.000,0,False.
LA,149,415,328-7209,no,yes,20,198.900.000,77,33.810.000,274.000.000,88,23.290.000,190.700.000,76,8.580.000,14.300.000,9,3.860.000,1,False.
OH,97,408,405-6189,no,no,0,256.400.000,125,43.590.000,273.900.000,100,23.280.000,222.700.000,101,10.020.000,11.100.000,1,3.000.000,1,True.
MA,88,415,418-6737,no,no,0,264.800.000,124,45.020.000,245.400.000,112,20.860.000,160.500.000,115,7.220.000,14.800.000,2,4.000.000,1,True.
AZ,60,415,366-2212,no,no,0,98.200.000,88,16.690.000,180.500.000,69,15.340.000,223.600.000,69,10.060.000,9.300.000,2,2.510.000,2,False.
KY,54,408,356-1420,no,no,0,159.800.000,99,27.170.000,264.000.000,64,22.440.000,115.700.000,70,5.210.000,9.700.000,7,2.620.000,2,False.
DC,11,415,343-1323,no,yes,28,190.600.000,86,32.400.000,220.100.000,122,18.710.000,180.300.000,80,8.110.000,6.000.000,3,1.620.000,3,False.
WA,109,415,361-8239,no,no,0,184.000.000,120,31.280.000,120.400.000,119,10.230.000,153.700.000,86,6.920.000,11.000.000,3,2.970.000,0,False.
UT,90,415,384-1621,no,no,0,261.800.000,128,44.510.000,220.600.000,104,18.750.000,136.600.000,91,6.150.000,9.600.000,5,2.590.000,1,False.
RI,115,408,360-3525,no,no,0,147.900.000,109,25.140.000,228.400.000,117,19.410.000,299.700.000,90,13.490.000,9.600.000,9,2.590.000,3,False.
OH,144,415,392-3813,no,yes,18,106.400.000,109,18.090.000,108.100.000,113,9.190.000,208.400.000,111,9.380.000,10.100.000,5,2.730.000,1,False.
NV,91,408,337-6898,no,no,0,133.700.000,75,22.730.000,195.300.000,87,16.600.000,280.500.000,89,12.620.000,5.900.000,2,1.590.000,0,False.
ND,105,415,366-8036,no,yes,23,193.500.000,85,32.900.000,220.200.000,90,18.720.000,272.400.000,111,12.260.000,8.500.000,5,2.300.000,0,False.
NV,71,415,352-8327,yes,no,0,178.200.000,113,30.290.000,167.800.000,94,14.260.000,182.100.000,111,8.190.000,13.600.000,3,3.670.000,3,True.
FL,132,510,334-9505,no,yes,36,226.200.000,103,38.450.000,181.600.000,125,15.440.000,258.800.000,102,11.650.000,10.500.000,5,2.840.000,3,True.
MD,112,415,336-5702,no,no,0,170.400.000,103,28.970.000,200.200.000,71,17.020.000,258.300.000,100,11.620.000,11.600.000,4,3.130.000,1,False.
AZ,86,415,392-2381,no,yes,32,70.900.000,163,12.050.000,166.700.000,121,14.170.000,244.900.000,105,11.020.000,11.100.000,5,3.000.000,3,False.
AL,41,510,369-6880,no,yes,34,194.400.000,63,33.050.000,254.900.000,110,21.670.000,160.200.000,115,7.210.000,17.200.000,9,4.640.000,2,False.
NE,44,415,416-8697,no,no,0,240.300.000,146,40.850.000,164.600.000,83,13.990.000,240.700.000,106,10.830.000,10.600.000,2,2.860.000,1,False.
NV,78,408,345-3451,no,no,0,75.000.000,116,12.750.000,248.700.000,87,21.140.000,176.000.000,83,7.920.000,9.500.000,6,2.570.000,3,False.
IL,149,408,379-2514,no,no,0,69.100.000,117,11.750.000,136.300.000,100,11.590.000,181.700.000,53,8.180.000,6.300.000,3,1.700.000,1,False.
WV,72,510,418-6651,no,yes,33,96.600.000,59,16.420.000,315.400.000,98,26.810.000,163.300.000,117,7.350.000,6.200.000,4,1.670.000,4,True.
MI,139,415,421-3528,no,yes,20,214.600.000,101,36.480.000,235.100.000,132,19.980.000,162.800.000,132,7.330.000,14.800.000,12,4.000.000,0,False.
AR,74,510,329-9046,no,no,0,148.500.000,111,25.250.000,146.500.000,42,12.450.000,289.200.000,83,13.010.000,9.900.000,6,2.670.000,3,False.
UT,50,510,406-3890,no,no,0,258.100.000,106,43.880.000,161.400.000,106,13.720.000,225.100.000,110,10.130.000,11.700.000,5,3.160.000,1,False.
GA,141,510,403-8904,no,yes,23,149.700.000,112,25.450.000,162.500.000,118,13.810.000,220.300.000,115,9.910.000,7.600.000,2,2.050.000,3,False.
AZ,140,408,393-4086,no,no,0,149.800.000,134,25.470.000,164.400.000,98,13.970.000,294.700.000,124,13.260.000,8.100.000,2,2.190.000,1,False.
ID,99,408,400-1367,no,no,0,190.400.000,102,32.370.000,158.100.000,107,13.440.000,271.500.000,92,12.220.000,11.200.000,4,3.020.000,2,False.
HI,166,408,377-9473,no,no,0,181.400.000,108,30.840.000,253.800.000,54,21.570.000,112.300.000,94,5.050.000,11.600.000,6,3.130.000,1,False.
NV,124,408,396-3068,no,no,0,151.100.000,123,25.690.000,187.400.000,104,15.930.000,255.400.000,93,11.490.000,5.300.000,3,1.430.000,1,False.
MD,74,415,331-9293,no,no,0,155.700.000,116,26.470.000,173.700.000,63,14.760.000,257.400.000,97,11.580.000,8.100.000,4,2.190.000,0,False.
GA,117,510,347-1914,no,no,0,149.900.000,95,25.480.000,256.100.000,110,21.770.000,212.700.000,92,9.570.000,13.300.000,13,3.590.000,2,False.
GA,85,510,395-1962,no,no,0,222.300.000,132,37.790.000,231.500.000,101,19.680.000,223.500.000,75,10.060.000,11.000.000,2,2.970.000,3,False.
UT,36,415,401-5485,no,yes,16,149.400.000,111,25.400.000,131.800.000,113,11.200.000,132.700.000,87,5.970.000,6.700.000,2,1.810.000,0,False.
MA,102,510,355-6560,yes,no,0,233.800.000,103,39.750.000,221.600.000,131,18.840.000,146.900.000,106,6.610.000,12.800.000,3,3.460.000,0,False.
IN,76,415,363-3911,no,no,0,204.200.000,100,34.710.000,292.600.000,139,24.870.000,244.300.000,105,10.990.000,10.500.000,2,2.840.000,0,False.
VT,165,510,345-1998,no,no,0,242.900.000,126,41.290.000,209.800.000,65,17.830.000,228.400.000,126,10.280.000,0,0,0,1,False.
IA,130,415,361-5277,no,no,0,150.400.000,119,25.570.000,230.500.000,99,19.590.000,186.300.000,76,8.380.000,12.300.000,4,3.320.000,1,False.
IN,78,415,376-7145,no,no,0,208.900.000,119,35.510.000,252.400.000,132,21.450.000,280.200.000,120,12.610.000,12.800.000,7,3.460.000,0,False.
AL,55,415,375-2975,yes,no,0,191.900.000,91,32.620.000,256.100.000,110,21.770.000,203.700.000,101,9.170.000,14.300.000,6,3.860.000,1,True.
ME,92,415,376-8573,yes,no,0,130.700.000,113,22.220.000,260.600.000,122,22.150.000,244.200.000,98,10.990.000,9.400.000,2,2.540.000,2,True.
RI,129,415,366-7360,no,yes,33,119.600.000,104,20.330.000,278.700.000,88,23.690.000,263.400.000,175,11.850.000,5.900.000,2,1.590.000,2,False.
MD,18,408,347-7898,no,no,0,273.600.000,93,46.510.000,114.600.000,116,9.740.000,250.600.000,120,11.280.000,8.200.000,4,2.210.000,1,False.
FL,161,415,390-7328,yes,no,0,156.100.000,114,26.540.000,180.300.000,63,15.330.000,179.600.000,115,8.080.000,11.100.000,9,3.000.000,2,False.
CA,93,415,356-5491,no,yes,36,178.700.000,134,30.380.000,178.600.000,102,15.180.000,126.800.000,82,5.710.000,8.000.000,4,2.160.000,2,False.
AL,144,415,373-3251,no,no,0,177.500.000,93,30.180.000,287.400.000,75,24.430.000,180.500.000,118,8.120.000,11.900.000,3,3.210.000,2,False.
ME,75,408,343-1965,yes,no,0,211.300.000,61,35.920.000,105.600.000,119,8.980.000,175.900.000,63,7.920.000,9.700.000,4,2.620.000,4,True.
WV,95,415,378-8019,no,no,0,175.200.000,91,29.780.000,244.400.000,109,20.770.000,75.800.000,95,3.410.000,7.500.000,2,2.030.000,1,False.
SD,126,415,386-1548,no,yes,23,114.300.000,102,19.430.000,190.300.000,103,16.180.000,240.400.000,111,10.820.000,12.600.000,7,3.400.000,3,False.
FL,124,415,397-1649,no,yes,28,251.400.000,104,42.740.000,225.100.000,89,19.130.000,251.900.000,121,11.340.000,7.500.000,5,2.030.000,1,False.
MI,93,415,366-7247,yes,no,0,216.900.000,61,36.870.000,207.400.000,120,17.630.000,221.700.000,110,9.980.000,17.500.000,5,4.730.000,1,True.
MI,109,415,402-9691,yes,yes,26,217.200.000,138,36.920.000,145.500.000,111,12.370.000,280.700.000,76,12.630.000,9.300.000,3,2.510.000,0,False.
NM,80,510,334-9806,no,no,0,206.300.000,97,35.070.000,154.900.000,98,13.170.000,263.600.000,82,11.860.000,12.400.000,12,3.350.000,0,False.
AK,41,415,378-7733,no,no,0,159.300.000,66,27.080.000,125.900.000,75,10.700.000,261.900.000,76,11.790.000,11.100.000,5,3.000.000,1,False.
OH,136,415,407-2248,no,yes,31,143.100.000,88,24.330.000,236.600.000,65,20.110.000,227.800.000,120,10.250.000,11.400.000,5,3.080.000,2,False.
MO,92,415,405-3916,no,no,0,154.000.000,122,26.180.000,329.800.000,88,28.030.000,288.000.000,117,12.960.000,5.600.000,2,1.510.000,3,True.
KS,143,408,407-2081,no,yes,24,186.600.000,69,31.720.000,222.000.000,116,18.870.000,234.900.000,138,10.570.000,11.600.000,5,3.130.000,1,False.
MS,118,415,397-9148,no,yes,26,170.800.000,114,29.040.000,199.500.000,125,16.960.000,169.700.000,98,7.640.000,9.600.000,5,2.590.000,5,True.
VT,193,408,415-4857,no,yes,17,124.000.000,102,21.080.000,202.900.000,81,17.250.000,205.100.000,129,9.230.000,12.300.000,3,3.320.000,1,False.
NE,73,415,354-7314,no,no,0,198.300.000,94,33.710.000,279.300.000,101,23.740.000,146.200.000,87,6.580.000,14.800.000,8,4.000.000,3,False.
VA,62,408,346-5611,no,no,0,172.800.000,101,29.380.000,204.800.000,97,17.410.000,240.800.000,90,10.840.000,9.100.000,8,2.460.000,2,False.
DE,30,415,349-4703,no,yes,30,217.400.000,74,36.960.000,213.800.000,86,18.170.000,227.200.000,104,10.220.000,6.600.000,3,1.780.000,0,False.
AL,60,408,411-7778,yes,yes,29,265.900.000,113,45.200.000,215.800.000,94,18.340.000,108.100.000,82,4.860.000,14.000.000,12,3.780.000,0,True.
ID,148,510,421-1469,no,yes,14,93.600.000,137,15.910.000,193.800.000,72,16.470.000,144.900.000,84,6.520.000,17.500.000,5,4.730.000,1,False.
MS,96,510,420-5990,no,no,0,98.200.000,100,16.690.000,307.200.000,88,26.110.000,182.500.000,120,8.210.000,7.600.000,1,2.050.000,2,False.
OK,52,408,389-4780,no,no,0,214.700.000,68,36.500.000,158.600.000,138,13.480.000,123.400.000,114,5.550.000,9.400.000,4,2.540.000,2,False.
NM,87,415,357-2735,no,no,0,168.200.000,92,28.590.000,224.700.000,100,19.100.000,169.500.000,99,7.630.000,12.900.000,3,3.480.000,1,False.
WI,41,408,409-4791,no,no,0,202.900.000,97,34.490.000,153.800.000,104,13.070.000,113.500.000,92,5.110.000,9.000.000,3,2.430.000,3,False.
WV,112,415,380-5286,no,no,0,261.400.000,108,44.440.000,154.500.000,102,13.130.000,130.900.000,90,5.890.000,11.600.000,2,3.130.000,1,False.
SC,88,510,394-8402,no,no,0,73.300.000,86,12.460.000,161.400.000,82,13.720.000,239.600.000,76,10.780.000,8.200.000,3,2.210.000,4,True.
KY,122,408,392-1616,no,yes,27,253.700.000,84,43.130.000,229.200.000,109,19.480.000,190.500.000,123,8.570.000,9.200.000,5,2.480.000,7,False.
MO,61,408,364-1969,no,no,0,45.000.000,108,7.650.000,151.300.000,74,12.860.000,152.900.000,94,6.880.000,9.800.000,6,2.650.000,2,False.
IL,87,510,390-4152,no,no,0,231.300.000,105,39.320.000,171.700.000,108,14.590.000,67.700.000,136,3.050.000,13.000.000,6,3.510.000,1,False.
OK,176,408,367-7039,no,no,0,47.400.000,125,8.060.000,167.800.000,90,14.260.000,163.100.000,107,7.340.000,10.500.000,8,2.840.000,2,False.
MI,30,510,391-6607,no,no,0,227.400.000,88,38.660.000,182.500.000,100,15.510.000,191.700.000,134,8.630.000,12.500.000,3,3.380.000,0,False.
NJ,95,415,379-6652,no,yes,22,40.900.000,126,6.950.000,133.400.000,90,11.340.000,264.200.000,91,11.890.000,11.900.000,7,3.210.000,0,False.
ID,46,415,384-1833,no,no,0,124.800.000,133,21.220.000,157.300.000,143,13.370.000,199.300.000,72,8.970.000,8.600.000,4,2.320.000,2,False.
DC,100,510,403-2455,yes,no,0,68.500.000,110,11.650.000,337.100.000,115,28.650.000,205.200.000,99,9.230.000,12.100.000,9,3.270.000,0,False.
NY,47,415,391-1348,no,yes,37,163.500.000,77,27.800.000,203.100.000,102,17.260.000,232.000.000,87,10.440.000,7.800.000,4,2.110.000,2,False.
AL,77,415,408-4174,no,no,0,163.000.000,112,27.710.000,219.100.000,89,18.620.000,233.400.000,66,10.500.000,6.700.000,3,1.810.000,2,False.
OR,98,415,366-4334,no,yes,38,213.700.000,61,36.330.000,253.000.000,104,21.510.000,207.700.000,73,9.350.000,10.700.000,5,2.890.000,2,False.
OK,125,415,406-5059,no,yes,36,201.300.000,117,34.220.000,42.200.000,78,3.590.000,125.700.000,104,5.660.000,5.400.000,3,1.460.000,1,False.
LA,67,510,373-6784,no,no,0,310.400.000,97,52.770.000,66.500.000,123,5.650.000,246.500.000,99,11.090.000,9.200.000,10,2.480.000,4,False.
NE,194,408,408-3532,no,no,0,48.400.000,101,8.230.000,281.100.000,138,23.890.000,218.500.000,87,9.830.000,18.200.000,1,4.910.000,1,False.
TX,128,415,350-8680,no,yes,40,171.200.000,88,29.100.000,145.700.000,109,12.380.000,196.800.000,93,8.860.000,14.000.000,6,3.780.000,1,False.
UT,190,415,398-9870,no,yes,22,166.500.000,93,28.310.000,183.000.000,92,15.560.000,121.000.000,102,5.440.000,8.500.000,3,2.300.000,0,False.
OR,165,415,343-3356,no,no,0,216.600.000,126,36.820.000,190.800.000,104,16.220.000,224.700.000,123,10.110.000,12.400.000,8,3.350.000,0,False.
NY,59,408,415-4609,no,no,0,107.800.000,113,18.330.000,216.600.000,125,18.410.000,217.500.000,92,9.790.000,9.900.000,3,2.670.000,2,False.
AL,47,408,404-5387,no,yes,28,141.300.000,94,24.020.000,168.000.000,108,14.280.000,113.500.000,84,5.110.000,7.800.000,2,2.110.000,1,False.
RI,150,415,415-8151,no,yes,29,209.900.000,77,35.680.000,158.000.000,52,13.430.000,141.900.000,113,6.390.000,6.600.000,1,1.780.000,0,False.
MN,152,415,416-2778,yes,yes,20,237.500.000,120,40.380.000,253.400.000,94,21.540.000,265.200.000,80,11.930.000,14.200.000,3,3.830.000,9,True.
NC,26,415,393-3300,no,no,0,234.500.000,109,39.870.000,216.500.000,129,18.400.000,191.600.000,94,8.620.000,3.500.000,6,950.000,3,False.
MD,79,510,391-7661,no,yes,31,103.100.000,90,17.530.000,243.000.000,135,20.660.000,76.400.000,92,3.440.000,12.200.000,8,3.290.000,3,False.
RI,95,510,339-4317,no,yes,27,129.500.000,106,22.020.000,248.900.000,90,21.160.000,268.000.000,115,12.060.000,11.900.000,3,3.210.000,1,False.
WI,69,510,418-6455,yes,no,0,279.800.000,90,47.570.000,248.700.000,91,21.140.000,171.000.000,118,7.690.000,8.400.000,10,2.270.000,2,True.
VT,95,510,378-3508,yes,yes,41,136.800.000,91,23.260.000,200.800.000,61,17.070.000,133.700.000,67,6.020.000,10.300.000,9,2.780.000,5,True.
CT,31,415,390-9359,no,yes,31,100.100.000,54,17.020.000,246.300.000,97,20.940.000,255.000.000,131,11.480.000,5.900.000,3,1.590.000,0,False.
OK,121,408,364-2495,no,yes,31,237.100.000,63,40.310.000,205.600.000,117,17.480.000,196.700.000,85,8.850.000,10.100.000,5,2.730.000,4,False.
AK,111,415,364-7719,no,no,0,172.800.000,58,29.380.000,183.100.000,108,15.560.000,158.800.000,104,7.150.000,7.900.000,3,2.130.000,4,True.
NY,157,415,421-1189,no,no,0,224.500.000,111,38.170.000,200.700.000,99,17.060.000,116.600.000,118,5.250.000,11.500.000,2,3.110.000,2,False.
GA,44,510,419-8987,no,no,0,288.100.000,112,48.980.000,258.000.000,92,21.930.000,192.400.000,90,8.660.000,10.200.000,4,2.750.000,3,True.
UT,61,510,402-9980,yes,no,0,78.200.000,103,13.290.000,195.900.000,149,16.650.000,108.000.000,100,4.860.000,10.100.000,6,2.730.000,2,False.
NM,65,415,376-5908,no,no,0,148.700.000,80,25.280.000,259.000.000,94,22.020.000,149.500.000,107,6.730.000,12.700.000,6,3.430.000,2,False.
NE,74,415,400-3150,no,yes,25,194.600.000,84,33.080.000,119.900.000,103,10.190.000,175.500.000,75,7.900.000,13.100.000,2,3.540.000,2,False.
NJ,123,408,336-1749,no,no,0,159.500.000,77,27.120.000,303.800.000,92,25.820.000,226.900.000,120,10.210.000,12.000.000,4,3.240.000,0,False.
TX,58,408,420-1259,no,yes,20,194.500.000,110,33.070.000,213.700.000,89,18.160.000,236.600.000,92,10.650.000,9.500.000,2,2.570.000,1,False.
MT,74,408,339-7541,no,no,0,174.100.000,96,29.600.000,251.100.000,94,21.340.000,257.600.000,123,11.590.000,8.300.000,5,2.240.000,2,True.
CO,125,415,378-9029,no,no,0,131.800.000,97,22.410.000,136.700.000,100,11.620.000,308.200.000,119,13.870.000,7.700.000,6,2.080.000,2,False.
VT,80,415,342-7514,no,no,0,160.600.000,103,27.300.000,237.000.000,109,20.150.000,245.100.000,88,11.030.000,10.700.000,1,2.890.000,1,False.
RI,53,408,422-4956,no,yes,18,146.800.000,107,24.960.000,310.000.000,84,26.350.000,178.700.000,130,8.040.000,7.200.000,7,1.940.000,0,False.
WY,99,408,389-8606,no,yes,28,200.700.000,88,34.120.000,264.200.000,116,22.460.000,172.700.000,102,7.770.000,9.100.000,5,2.460.000,1,False.
ID,99,415,406-7261,no,no,0,145.600.000,106,24.750.000,98.300.000,106,8.360.000,230.800.000,83,10.390.000,10.900.000,5,2.940.000,1,False.
CT,66,415,417-7973,no,yes,29,229.400.000,104,39.000.000,257.400.000,84,21.880.000,231.500.000,119,10.420.000,8.000.000,1,2.160.000,2,False.
ME,97,510,390-2891,no,no,0,211.000.000,76,35.870.000,189.000.000,100,16.070.000,123.000.000,102,5.540.000,4.700.000,4,1.270.000,3,False.
AZ,75,510,385-7387,no,yes,37,121.500.000,97,20.660.000,271.400.000,110,23.070.000,248.700.000,97,11.190.000,11.300.000,5,3.050.000,2,False.
MD,85,510,362-2776,yes,no,0,216.000.000,73,36.720.000,188.200.000,117,16.000.000,147.100.000,98,6.620.000,3.600.000,7,970.000,2,False.
IN,108,510,329-1955,no,no,0,293.000.000,88,49.810.000,160.600.000,101,13.650.000,143.900.000,87,6.480.000,10.000.000,6,2.700.000,2,False.
NC,133,408,344-3160,yes,yes,32,221.100.000,137,37.590.000,264.900.000,99,22.520.000,168.900.000,108,7.600.000,15.400.000,4,4.160.000,2,True.
DE,51,510,406-2454,no,no,0,181.500.000,108,30.860.000,196.900.000,87,16.740.000,187.200.000,119,8.420.000,10.300.000,2,2.780.000,1,False.
MN,186,415,335-3913,no,yes,26,74.300.000,107,12.630.000,177.300.000,116,15.070.000,296.300.000,90,13.330.000,14.500.000,3,3.920.000,2,False.
WI,44,415,355-7705,yes,no,0,62.300.000,92,10.590.000,275.000.000,82,23.380.000,138.700.000,108,6.240.000,10.800.000,3,2.920.000,1,False.
FL,64,408,410-7108,no,yes,31,228.600.000,88,38.860.000,248.500.000,109,21.120.000,167.100.000,124,7.520.000,9.000.000,1,2.430.000,3,False.
WV,44,510,419-1674,no,no,0,228.100.000,121,38.780.000,276.500.000,79,23.500.000,279.800.000,77,12.590.000,9.900.000,5,2.670.000,2,True.
SD,114,415,351-7369,no,yes,36,309.900.000,90,52.680.000,200.300.000,89,17.030.000,183.500.000,105,8.260.000,14.200.000,2,3.830.000,1,False.
FL,92,415,349-9566,no,no,0,201.900.000,74,34.320.000,226.800.000,119,19.280.000,217.500.000,80,9.790.000,13.700.000,6,3.700.000,3,False.
OR,110,408,333-3421,no,no,0,149.800.000,112,25.470.000,180.000.000,93,15.300.000,140.000.000,119,6.300.000,11.700.000,4,3.160.000,2,False.
CO,90,408,393-8199,no,yes,30,183.800.000,76,31.250.000,229.700.000,95,19.520.000,144.100.000,124,6.480.000,7.700.000,3,2.080.000,1,False.
CT,72,408,388-4879,no,yes,21,186.700.000,108,31.740.000,335.000.000,86,28.480.000,187.200.000,119,8.420.000,16.500.000,4,4.460.000,1,False.
IN,113,415,353-6007,no,no,0,209.400.000,151,35.600.000,347.300.000,113,29.520.000,246.000.000,116,11.070.000,7.400.000,2,2.000.000,1,True.
PA,171,415,416-1557,no,yes,25,223.200.000,77,37.940.000,183.200.000,118,15.570.000,150.800.000,90,6.790.000,10.200.000,3,2.750.000,3,False.
NM,104,415,356-7217,no,no,0,164.200.000,109,27.910.000,155.400.000,90,13.210.000,168.900.000,117,7.600.000,10.700.000,8,2.890.000,1,False.
ME,165,408,350-2012,no,no,0,150.500.000,75,25.590.000,193.100.000,93,16.410.000,311.600.000,93,14.020.000,10.300.000,2,2.780.000,1,False.
SD,104,510,420-9838,no,no,0,234.200.000,128,39.810.000,293.100.000,92,24.910.000,183.900.000,79,8.280.000,9.800.000,6,2.650.000,0,True.
AR,110,408,373-6379,no,no,0,55.300.000,102,9.400.000,164.700.000,124,14.000.000,200.700.000,108,9.030.000,10.200.000,5,2.750.000,1,False.
TX,90,408,355-7293,yes,no,0,221.800.000,97,37.710.000,203.800.000,134,17.320.000,215.800.000,154,9.710.000,8.400.000,4,2.270.000,1,False.
NH,114,415,406-4588,no,no,0,169.600.000,85,28.830.000,58.900.000,86,5.010.000,179.300.000,124,8.070.000,7.400.000,8,2.000.000,1,False.
OK,101,408,345-1524,no,no,0,89.700.000,118,15.250.000,260.100.000,79,22.110.000,170.100.000,93,7.650.000,13.500.000,11,3.650.000,5,True.
WI,117,408,375-8493,no,yes,14,80.200.000,81,13.630.000,219.000.000,103,18.620.000,122.600.000,102,5.520.000,8.600.000,2,2.320.000,1,False.
AL,109,408,361-2924,no,no,0,218.900.000,105,37.210.000,299.900.000,87,25.490.000,158.600.000,110,7.140.000,11.300.000,4,3.050.000,2,False.
PA,82,408,359-6163,no,no,0,125.700.000,96,21.370.000,207.600.000,137,17.650.000,183.100.000,103,8.240.000,12.900.000,2,3.480.000,1,False.
OK,92,510,411-8140,no,no,0,176.300.000,85,29.970.000,93.400.000,125,7.940.000,207.200.000,107,9.320.000,9.600.000,1,2.590.000,2,False.
ME,82,510,381-9049,no,yes,29,207.200.000,111,35.220.000,254.100.000,137,21.600.000,169.300.000,92,7.620.000,9.500.000,5,2.570.000,2,False.
WV,90,415,344-4478,no,no,0,205.700.000,138,34.970.000,161.900.000,83,13.760.000,269.700.000,104,12.140.000,12.500.000,6,3.380.000,2,False.
HI,87,408,360-2690,no,yes,28,151.400.000,95,25.740.000,152.400.000,97,12.950.000,250.100.000,109,11.250.000,0,0,0,1,False.
MN,124,510,410-7383,no,no,0,157.500.000,70,26.780.000,130.700.000,79,11.110.000,193.400.000,98,8.700.000,9.600.000,4,2.590.000,3,False.
NY,39,408,356-1889,no,no,0,160.400.000,68,27.270.000,102.600.000,103,8.720.000,235.300.000,106,10.590.000,9.100.000,5,2.460.000,2,False.
AZ,84,415,341-2360,no,no,0,159.000.000,80,27.030.000,167.900.000,128,14.270.000,167.600.000,101,7.540.000,12.300.000,5,3.320.000,1,False.
OH,75,510,370-3021,no,yes,46,214.100.000,62,36.400.000,200.900.000,111,17.080.000,246.800.000,126,11.110.000,9.200.000,6,2.480.000,0,False.
MI,102,510,336-4656,no,no,0,102.600.000,89,17.440.000,246.000.000,77,20.910.000,170.500.000,140,7.670.000,9.100.000,4,2.460.000,2,False.
MA,62,415,386-2810,yes,no,0,159.700.000,86,27.150.000,197.500.000,76,16.790.000,121.600.000,105,5.470.000,13.900.000,6,3.750.000,0,True.
